# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesHandedOver,1706135230682000000,1706135290665000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1706135230682000000,1706135290665000000,51423
FilePageCacheLockFree.totalPagesWriteMs,1706135230682000000,1706135290665000000,0
FilePageCache.maxRegisteredFiles,1706135230682000000,1706135290665000000,575
FilePageCacheLockFree.housekeeperTimeSpentMs,1706135230682000000,1706135290665000000,125
StreamlinedBlobStorage.recordsAllocated,1706135230682000000,1706135290665000000,11
StreamlinedBlobStorage.recordsDeleted,1706135230682000000,1706135290665000000,0
FilePageCache.totalPageDisposalsUs,1706135230682000000,1706135290665000000,251
FilePageCacheLockFree.totalPagesWritten,1706135230682000000,1706135290665000000,2
FilePageCacheLockFree.totalHeapBytesAllocated,1706135230682000000,1706135290665000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1706135230682000000,1706135290665000000,120
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1706135230682000000,1706135290665000000,770
StreamlinedBlobStorage.recordsRelocated,1706135230682000000,1706135290665000000,0
FilePageCacheLockFree.totalBytesRequested,1706135230682000000,1706135290665000000,311296
FilePageCache.pageLoadsAboveSizeThreshold,1706135230682000000,1706135290665000000,0
FilePageCache.uncachedFileAccess,1706135230682000000,1706135290665000000,292
FilePageCacheLockFree.heapBytesInUse,1706135230682000000,1706135290665000000,0
FilePageCache.capacityInBytes,1706135230682000000,1706135290665000000,503316478
MappedFileStorage.storages,1706135230682000000,1706135290665000000,14
FilePageCache.pageLoads,1706135230682000000,1706135290665000000,106
StorageLockContext.competingThreads.max,1706135230682000000,1706135290665000000,0
StorageLockContext.competingThreads.90P,1706135230682000000,1706135290665000000,0
MappedFileStorage.totalPagesMapped,1706135230682000000,1706135290665000000,14
FilePageCacheLockFree.totalPagesRequestsMs,1706135230682000000,1706135290665000000,1
FilePageCache.maxCacheSizeInBytes,1706135230682000000,1706135290665000000,325074944
FilePageCache.pageHits,1706135230682000000,1706135290665000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1706135230682000000,1706135290665000000,0
DirectByteBufferAllocator.hits,1706135230682000000,1706135290665000000,29
FilePageCacheLockFree.totalBytesWritten,1706135230682000000,1706135290665000000,7327
MappedFileStorage.totalBytesMapped,1706135230682000000,1706135290665000000,128188416
DirectByteBufferAllocator.reclaimed,1706135230682000000,1706135290665000000,29
MappedFileStorage.totalTimeSpentOnMappingUs,1706135230682000000,1706135290665000000,129866
FilePageCacheLockFree.totalNativeBytesReclaimed,1706135230682000000,1706135290665000000,0
JVM.totalCpuTimeMs,1706135230682000000,1706135290665000000,88790
JVM.totalBytesAllocated,1706135230682000000,1706135290665000000,6183307632
JVM.maxHeapBytes,1706135230682000000,1706135290665000000,2051014656
JVM.usedHeapBytes,1706135230682000000,1706135290665000000,728841064
JVM.usedNativeBytes,1706135230682000000,1706135290665000000,481290936
JVM.GC.collections,1706135230682000000,1706135290665000000,53
JVM.GC.collectionTimesMs,1706135230682000000,1706135290665000000,538
JVM.threadCount,1706135230682000000,1706135290665000000,104
OS.loadAverage,1706135230682000000,1706135290665000000,2.66259765625
JVM.maxNativeBytes,1706135230682000000,1706135290665000000,-1
FileNameCache.totalMisses,1706135230682000000,1706135290665000000,0
FileNameCache.queries,1706135230682000000,1706135290665000000,39319
FlushQueue.queueSizeMax,1706135230682000000,1706135290665000000,0
WriteAction.executionsCount,1706135230682000000,1706135290665000000,19
FlushQueue.waitingTimeMaxNs,1706135230682000000,1706135290665000000,0
FlushQueue.queueSize90P,1706135230682000000,1706135290665000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1706135230682000000,1706135290665000000,9261390
FlushQueue.executionTimeAvgNs,1706135230682000000,1706135290665000000,0.0
FlushQueue.executionTime90PNs,1706135230682000000,1706135290665000000,0
AWTEventQueue.dispatchTimeMaxNs,1706135230682000000,1706135290665000000,131071
FlushQueue.tasksExecuted,1706135230682000000,1706135290665000000,0
AWTEventQueue.dispatchTime90PNs,1706135230682000000,1706135290665000000,131071
FlushQueue.waitingTime90PNs,1706135230682000000,1706135290665000000,0
NonBlockingReadAction.failedExecutionsCount,1706135230682000000,1706135290665000000,56
AWTEventQueue.dispatchTimeTotalNS,1706135230682000000,1706135290665000000,12341136906
FlushQueue.waitingTimeAvgNs,1706135230682000000,1706135290665000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1706135230682000000,1706135290665000000,16244652
AWTEventQueue.eventsDispatched,1706135230682000000,1706135290665000000,2
FlushQueue.queueSizeAvg,1706135230682000000,1706135290665000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1706135230682000000,1706135290665000000,115200.0
NonBlockingReadAction.finalizedExecutionsCount,1706135230682000000,1706135290665000000,442
ReadAction.executionsCount,1706135230682000000,1706135290665000000,18606
FlushQueue.executionTimeMaxNs,1706135230682000000,1706135290665000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1706135230682000000,1706135290665000000,52
jps.app.storage.content.writer.save.component.ms,1706135230682000000,1706135290665000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1706135230682000000,1706135290665000000,2
jps.save.global.entities.ms,1706135230682000000,1706135290665000000,2
jps.project.serializers.load.ms,1706135230682000000,1706135290665000000,72
workspaceModel.mutableEntityStorage.referrers.ms,1706135230682000000,1706135290665000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1706135230682000000,1706135290665000000,1
jps.artifact.entities.serializer.save.entities.ms,1706135230682000000,1706135290665000000,0
jps.facet.change.listener.before.change.events.ms,1706135230682000000,1706135290665000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1706135230682000000,1706135290665000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1706135230682000000,1706135290665000000,1653
jps.load.initial.state.ms,1706135230682000000,1706135290665000000,7
workspaceModel.mutableEntityStorage.add.diff.ms,1706135230682000000,1706135290665000000,22
jps.storage.jps.conf.reader.load.component.ms,1706135230682000000,1706135290665000000,9
workspaceModel.mutableEntityStorage.replace.by.source.ms,1706135230682000000,1706135290665000000,28
jps.save.changed.project.entities.ms,1706135230682000000,1706135290665000000,1
jps.global.get.library.ms,1706135230682000000,1706135290665000000,0
workspaceModel.orphan.listener.update.ms,1706135230682000000,1706135290665000000,5
workspaceModel.sync.entities.ms,1706135230682000000,1706135290665000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1706135230682000000,1706135290665000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1706135230682000000,1706135290665000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1706135230682000000,1706135290665000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1706135230682000000,1706135290665000000,0
workspaceModel.load.cache.from.file.ms,1706135230682000000,1706135290665000000,179
jps.load.project.to.empty.storage.ms,1706135230682000000,1706135290665000000,79
workspaceModel.moduleBridge.before.changed.ms,1706135230682000000,1706135290665000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1706135230682000000,1706135290665000000,3
jps.global.handle.before.change.events.ms,1706135230682000000,1706135290665000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1706135230682000000,1706135290665000000,1
jps.reload.project.entities.ms,1706135230682000000,1706135290665000000,0
workspaceModel.mutableEntityStorage.entities.ms,1706135230682000000,1706135290665000000,4
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1706135230682000000,1706135290665000000,0
jps.facet.change.listener.process.change.events.ms,1706135230682000000,1706135290665000000,0
jps.facet.change.listener.init.bridge.ms,1706135230682000000,1706135290665000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1706135230682000000,1706135290665000000,0
jps.apply.loaded.storage.ms,1706135230682000000,1706135290665000000,89543
workspaceModel.load.cache.metadata.from.file.ms,1706135230682000000,1706135290665000000,22
workspaceModel.global.updates.ms,1706135230682000000,1706135290665000000,0
workspaceModel.moduleBridge.update.option.ms,1706135230682000000,1706135290665000000,0
jps.global.initialize.library.bridges.ms,1706135230682000000,1706135290665000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1706135230682000000,1706135290665000000,0
workspaceModel.save.cache.to.file.ms,1706135230682000000,1706135290665000000,88
jps.app.storage.content.reader.load.component.ms,1706135230682000000,1706135290665000000,1
jps.library.entities.serializer.save.entities.ms,1706135230682000000,1706135290665000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1706135230682000000,1706135290665000000,14
workspaceModel.moduleManagerBridge.load.module.ms,1706135230682000000,1706135290665000000,0
workspaceModel.global.updates.count,1706135230682000000,1706135290665000000,0
jps.project.serializers.save.ms,1706135230682000000,1706135290665000000,1
jps.module.iml.entities.serializer.load.entities.ms,1706135230682000000,1706135290665000000,20
workspaceModel.moduleManagerBridge.create.module.instance.ms,1706135230682000000,1706135290665000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1706135230682000000,1706135290665000000,89629
workspaceModel.mutableEntityStorage.has.same.entities.ms,1706135230682000000,1706135290665000000,0
jps.artifact.entities.serializer.load.entities.ms,1706135230682000000,1706135290665000000,0
jps.global.initialize.library.bridges.after.loading.ms,1706135230682000000,1706135290665000000,0
jps.global.get.libraries.ms,1706135230682000000,1706135290665000000,13
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1706135230682000000,1706135290665000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1706135230682000000,1706135290665000000,11
jps.module.iml.entities.serializer.save.entities.ms,1706135230682000000,1706135290665000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1706135230682000000,1706135290665000000,26
jps.global.get.library.by.name.ms,1706135230682000000,1706135290665000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1706135230682000000,1706135290665000000,1
jps.library.entities.serializer.load.entities.ms,1706135230682000000,1706135290665000000,0
jps.global.handle.changed.events.ms,1706135230682000000,1706135290665000000,0
workspaceModel.global.apply.state.to.project.ms,1706135230682000000,1706135290665000000,36
IndexesFlusher.totalFlushingTimeUs,1706135230682000000,1706135290665000000,494103
IndexesFlusher.totalFlushesRetried,1706135230682000000,1706135290665000000,0
Indexes.entries.lookupDurationMaxMs,1706135230682000000,1706135290665000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1706135230682000000,1706135290665000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1706135230682000000,1706135290665000000,2
Indexes.entries.lookups,1706135230682000000,1706135290665000000,0.0
Indexes.stubs.lookupDuration90PMs,1706135230682000000,1706135290665000000,0.0
Indexes.stubs.lookupDurationAvgMs,1706135230682000000,1706135290665000000,0.0
Indexes.stubs.lookupDurationMaxMs,1706135230682000000,1706135290665000000,0.0
Indexes.stubs.lookups,1706135230682000000,1706135290665000000,0.0
Indexes.entries.lookupDuration90PMs,1706135230682000000,1706135290665000000,0.0
Indexes.entries.lookupDurationAvgMs,1706135230682000000,1706135290665000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1706135230682000000,1706135290665000000,0.0
Indexes.allKeys.lookups,1706135230682000000,1706135290665000000,0.0
Indexes.allKeys.lookupDuration90PMs,1706135230682000000,1706135290665000000,0.0
IndexesFlusher.totalFlushes,1706135230682000000,1706135290665000000,74
workspaceModel.check.recursive.update.ms,1706135290665000000,1706135350660000000,2
workspaceModel.initializing.ms,1706135290665000000,1706135350660000000,2
workspaceModel.loading.from.cache.ms,1706135290665000000,1706135350660000000,182
workspaceModel.loading.total.ms,1706135290665000000,1706135350660000000,195
workspaceModel.updates.ms,1706135290665000000,1706135350660000000,121
workspaceModel.init.bridges.ms,1706135290665000000,1706135350660000000,2
workspaceModel.replace.project.model.ms,1706135290665000000,1706135350660000000,0
workspaceModel.update.unloaded.entities.ms,1706135290665000000,1706135350660000000,0
workspaceModel.updates.count,1706135290665000000,1706135350660000000,4
workspaceModel.to.snapshot.ms,1706135290665000000,1706135350660000000,0
workspaceModel.updates.precise.ms,1706135290665000000,1706135350660000000,44
workspaceModel.collect.changes.ms,1706135290665000000,1706135350660000000,0
workspaceModel.pre.handlers.ms,1706135290665000000,1706135350660000000,2
FilePageCacheLockFree.totalPageAllocationsWaited,1706135290665000000,1706135350660000000,0
FilePageCacheLockFree.totalPagesReadMs,1706135290665000000,1706135350660000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1706135290665000000,1706135350660000000,9
